date,ObserveValue,AnalogValue
1,2.808000,4.099389
2,4.951385,4.570981
3,4.519385,4.209617
4,4.386462,4.412476
5,5.350154,4.693932
6,4.652308,4.345843
7,3.888000,4.215454
8,6.247385,6.473618
9,10.966154,12.043467
10,14.820923,22.452315
11,9.171692,23.842040
12,7.244308,12.184369
13,5.815385,7.964925
14,4.884923,5.846996
15,4.320000,4.698067
16,3.888000,4.251086
17,3.854769,4.082138
18,3.655385,4.933658
19,5.416615,6.520952
20,3.655385,4.993666
21,3.156923,4.097783
22,3.040615,3.578924
23,2.874462,3.207504
24,2.741538,2.924247
25,2.558769,2.702742
26,2.459077,2.524551
27,2.342769,2.377684
28,2.259692,2.254210
29,2.160000,2.148643
30,2.076923,2.223043
31,2.126769,2.392152
32,2.043692,2.203625
33,1.910769,2.077759
34,1.777846,1.987333
35,1.678154,1.907846
36,1.624985,1.837173
37,1.558523,1.773721
38,1.445538,1.850574
39,1.375754,2.069181
40,1.375754,2.262754
41,1.375754,2.524465
42,1.375754,2.289789
43,1.382400,2.380117
44,1.811077,2.660447
45,1.794462,2.370287
46,3.173538,2.757363
47,4.818462,4.187656
48,3.788308,4.526749
49,2.658462,3.656849
50,2.243077,3.146203
51,2.076923,2.816201
52,2.259692,2.859549
53,2.675077,3.403085
54,2.940923,3.460304
55,2.226462,2.963102
56,2.027077,2.648446
57,1.960615,2.427609
58,1.944000,2.248985
59,1.910769,2.101171
60,1.794462,1.976476
61,1.761231,1.870112
62,1.794462,1.778451
63,1.711385,1.698249
64,1.694769,1.628757
65,1.744615,1.602863
66,1.761231,1.959602
67,3.489231,3.138116
68,3.755077,3.837347
69,2.425846,3.304289
70,2.425846,3.131714
71,2.243077,2.749827
72,2.043692,2.475961
73,1.844308,2.272293
74,1.827692,2.109256
75,2.907692,2.836913
76,4.153846,4.143700
77,3.007385,3.655177
78,3.356308,3.588527
79,2.874462,3.195087
80,3.107077,3.008491
81,2.940923,2.661228
82,2.625231,2.407921
83,2.492308,2.214637
84,2.309538,2.054959
85,2.160000,1.920456
86,2.126769,1.805234
87,1.977231,1.705093
88,1.877538,1.616985
89,1.744615,1.538634
90,1.661538,1.468309
91,1.621662,1.404695
92,1.678154,1.415116
93,2.010462,1.580423
94,2.492308,1.941810
95,2.758154,2.254690
96,2.160000,2.111751
97,2.309538,2.182237
98,1.811077,1.953757
99,1.644923,1.797253
100,1.528615,1.682245
101,1.432246,1.582520
102,1.408985,1.495562
103,1.385723,1.419334
104,1.352492,1.350639
105,1.299323,1.288433
106,1.242831,1.231793
107,1.169723,1.179901
108,1.123200,1.132402
109,1.242831,1.103334
110,1.402338,1.086614
111,1.329231,1.038348
112,1.232862,0.998954
113,1.146462,0.964351
114,1.096615,0.947388
115,1.209600,0.943077
116,1.302646,0.902357
117,1.452185,0.871970
118,1.216246,0.845506
119,1.166400,0.830125
120,1.322585,1.023694
121,2.376000,1.351298
122,3.024000,1.147203
123,3.688615,1.187672
124,4.153846,1.362182
125,4.353231,1.214105
126,3.854769,1.132750
127,3.921231,1.092027
128,4.452923,1.062134
129,3.954462,1.011650
130,3.755077,0.969048
131,3.688615,0.931227
132,3.655385,0.896127
133,2.126769,0.863542
134,0.900554,0.833074
135,0.903877,0.804679
136,0.830769,0.777835
137,0.830769,0.752490
138,0.830769,0.728551
139,0.830769,0.705936
140,0.830769,0.684565
141,0.830769,0.664276
142,0.784246,0.645016
143,0.731077,0.626718
144,0.711138,0.609314
145,0.694523,0.592747
146,0.611446,0.576962
147,0.568246,0.561911
148,0.581538,0.547548
149,0.568246,0.533831
150,0.554954,0.520721
151,0.564923,0.508184
152,0.584862,0.496186
153,0.571569,0.484692
154,0.554954,0.473677
155,0.515077,0.476907
156,0.508431,0.491644
157,0.574892,0.484133
158,0.648000,0.502794
159,0.900554,0.472247
160,0.588185,0.467999
161,0.515077,0.478134
162,0.495138,0.455813
163,0.481846,0.443039
164,0.465231,0.433806
165,0.451938,0.425000
166,0.435323,0.416491
167,0.425354,0.408305
168,0.425354,0.400436
169,0.471877,0.392860
170,0.455262,0.398846
171,0.648000,0.419764
172,0.927138,0.403009
173,0.820800,0.387511
174,0.521723,0.379452
175,0.485169,0.372726
176,0.508431,0.366245
177,0.528369,0.394606
178,0.541662,0.452774
179,0.505108,0.402698
180,0.445292,0.384777
181,0.382154,0.377788
182,0.388800,0.371044
183,0.441969,0.384653
184,0.501785,0.415485
185,0.455262,0.383691
