date,ObserveValue,AnalogValue
1,0.140737,6.010885
2,0.140737,4.678116
3,0.131773,3.794908
4,0.117430,3.171029
5,0.117430,2.709124
6,0.117430,2.355003
7,0.117430,2.075819
8,0.109362,1.850676
9,0.096813,1.665697
10,0.096813,1.511314
11,0.096813,1.380730
12,0.104880,1.268996
13,0.117430,1.172428
14,0.117430,1.088225
15,0.117430,1.014229
16,0.136255,0.948747
17,0.147908,0.890436
18,0.117430,0.838218
19,0.126394,0.791215
20,0.140737,0.748710
21,0.140737,0.710106
22,0.123705,0.674910
23,0.090538,0.642702
24,0.073506,0.613132
25,0.059163,0.585900
26,0.051096,0.560747
27,0.051096,0.537453
28,0.051096,0.515826
29,0.051096,0.495700
30,0.046613,0.476929
31,0.036753,0.459385
32,0.031374,0.442957
33,0.031374,0.427545
34,0.028685,0.413061
35,0.023307,0.399426
36,0.025996,0.386571
37,0.027789,0.374433
38,0.029582,0.362957
39,0.034064,0.352090
40,0.034064,0.341788
41,0.051096,0.332010
42,0.106673,0.323077
43,0.174801,0.314222
44,0.132669,0.305786
45,0.117430,0.297744
46,0.117430,0.290069
47,0.109362,0.282739
48,0.096813,0.275731
49,0.084263,0.269025
50,0.059163,0.262604
51,0.051096,0.256449
52,0.108466,0.255912
53,0.813943,0.250074
54,0.475996,0.244428
55,0.232171,0.239003
56,0.148805,0.233788
57,0.110259,0.228771
58,0.090538,0.223942
59,0.073506,0.219290
60,0.059163,0.214807
61,0.120119,0.210484
62,0.186454,0.206313
63,0.118327,0.202286
64,0.103088,0.198396
65,0.078884,0.194637
66,0.086056,0.191885
67,0.243824,0.205478
68,0.425796,0.199009
69,0.316434,0.189132
70,0.242032,0.185680
71,0.186454,0.182335
72,0.139840,0.179095
73,0.084263,0.175956
74,0.069920,0.173459
75,0.123705,0.170496
76,0.252789,0.167617
77,0.286852,0.164822
78,0.186454,0.162109
79,0.147908,0.159474
80,0.117430,0.156914
81,0.117430,0.154426
82,0.107570,0.252204
83,0.755677,0.922950
84,12.210944,6.675482
85,19.124980,7.832276
86,7.140829,4.587764
