date,ObserveValue,AnalogValue
1,0.223815,6.676159
2,0.220663,5.461490
3,0.202012,4.411986
4,0.211206,3.910562
5,0.317597,3.700899
6,0.515405,4.287532
7,0.431869,4.144840
8,0.795174,4.713621
9,1.968628,7.734264
10,1.569070,6.063363
11,1.192630,4.788813
12,0.971442,3.933565
13,0.821181,3.325223
14,0.714527,2.872853
15,0.647540,2.535344
16,0.642286,2.430085
17,0.845611,3.080286
18,1.202612,4.839017
19,1.176868,4.446003
20,1.130634,3.702810
21,1.038691,3.177694
22,0.943596,2.780161
23,0.861110,2.494058
24,0.796750,2.347992
25,0.721620,2.135368
26,0.698503,2.029455
27,0.812512,2.523627
28,1.289827,4.656147
29,1.437986,5.104197
30,1.538072,4.035577
31,1.491838,3.439635
32,1.384134,2.992522
33,1.302699,2.647982
34,1.303749,2.493076
35,1.273014,2.806327
36,1.223628,2.611964
37,1.172140,2.355163
38,1.124855,2.147923
39,1.073630,1.968230
40,1.025819,1.815389
41,0.974594,1.684504
42,0.926784,1.571354
43,0.878448,1.472868
44,0.873982,1.410591
45,1.290877,1.442908
46,1.942095,1.372454
47,1.895073,1.297814
48,1.617669,1.231235
49,1.391227,1.177068
50,1.256990,1.201093
51,1.372575,1.561015
52,1.332120,2.474902
53,1.333697,2.154315
54,1.321087,1.910891
55,1.277217,1.763847
56,1.228356,1.637737
57,1.173716,1.545253
58,1.112771,1.597318
59,1.108831,1.883576
60,1.161369,1.905310
61,1.258041,2.051628
62,1.306639,2.000257
63,1.362856,2.069597
64,1.583256,2.840505
65,2.171690,3.259683
66,7.056482,5.663734
67,10.689275,8.958200
68,9.246035,7.595411
69,7.958047,6.071108
70,6.584946,4.908271
71,5.500283,4.107105
72,4.435585,3.635734
73,3.700305,3.513023
74,3.145759,3.307572
75,2.708111,2.941537
76,2.394980,2.631288
77,2.140167,2.476114
78,1.997524,2.703235
79,1.779751,2.487234
80,1.637633,2.259663
81,1.530980,2.070769
82,1.459264,1.918239
83,1.392803,1.926784
84,2.008032,2.673820
85,1.983076,3.060361
86,2.334035,3.043054
87,6.385299,5.097981
88,7.164186,4.492206
89,6.374266,4.281056
90,5.513155,4.023115
91,4.725074,3.489886
92,4.128234,3.053320
93,3.598905,2.711957
94,3.227719,2.572926
95,3.212746,3.226544
96,3.714753,4.422015
97,3.845312,3.746318
98,3.748116,3.242671
99,3.448907,2.855915
100,3.117125,2.549773
101,2.822908,2.301625
102,2.559689,2.120656
103,2.304350,2.164276
104,2.378430,2.716631
105,2.650581,3.767086
106,3.588923,4.692071
107,5.234437,5.547268
108,6.990808,6.226388
109,6.883892,5.129988
110,6.186965,4.626812
111,5.676551,5.558544
112,5.569897,6.069747
113,5.671822,5.031534
114,5.769545,4.184426
115,5.741174,3.577413
116,5.365784,3.121307
117,4.869293,2.996523
118,5.436711,4.199082
119,6.476454,5.973410
